"phase","cycle","order_seed","order_position","implementation","started_utc","completed_utc","duration_ms","peak_working_set_bytes","active_case_count","large_case_count","cohort","exit_code"
"measured","61","1061","1","rapidjson-1.9.5","2026-09-03T13:37:43.9426747Z","2026-09-03T13:37:45.2195420Z","1276.867","42520576","13","0","standard-only","0"
"measured","61","1061","2","nlohmann-2.0.0","2026-09-03T13:37:45.7099843Z","2026-09-03T13:37:47.1757376Z","1465.753","42823680","13","0","standard-only","0"
"measured","62","1062","1","nlohmann-2.0.0","2026-09-03T13:37:47.6884926Z","2026-09-03T13:37:49.1392611Z","1450.769","42962944","13","0","standard-only","0"
"measured","62","1062","2","rapidjson-1.9.5","2026-09-03T13:37:49.7533809Z","2026-09-03T13:37:51.0609540Z","1307.573","42516480","13","0","standard-only","0"
"measured","63","1063","1","rapidjson-1.9.5","2026-09-03T13:37:51.6074725Z","2026-09-03T13:37:52.8827722Z","1275.3","42545152","13","0","standard-only","0"
"measured","63","1063","2","nlohmann-2.0.0","2026-09-03T13:37:53.3729868Z","2026-09-03T13:37:54.8122338Z","1439.247","42889216","13","0","standard-only","0"
"measured","64","1064","1","nlohmann-2.0.0","2026-09-03T13:37:55.3572298Z","2026-09-03T13:37:56.9347085Z","1577.479","42827776","13","0","standard-only","0"
"measured","64","1064","2","rapidjson-1.9.5","2026-09-03T13:37:57.4890762Z","2026-09-03T13:37:58.7390860Z","1250.01","42389504","13","0","standard-only","0"
"measured","65","1065","1","rapidjson-1.9.5","2026-09-03T13:37:59.2289379Z","2026-09-03T13:38:00.5571693Z","1328.231","42446848","13","0","standard-only","0"
"measured","65","1065","2","nlohmann-2.0.0","2026-09-03T13:38:01.0793627Z","2026-09-03T13:38:02.5083551Z","1428.992","42876928","13","0","standard-only","0"
"measured","66","1066","1","nlohmann-2.0.0","2026-09-03T13:38:03.3213591Z","2026-09-03T13:38:04.9608360Z","1639.477","42631168","13","0","standard-only","0"
"measured","66","1066","2","rapidjson-1.9.5","2026-09-03T13:38:05.5073629Z","2026-09-03T13:38:06.8811594Z","1373.797","42360832","13","0","standard-only","0"
"measured","67","1067","1","rapidjson-1.9.5","2026-09-03T13:38:07.4341063Z","2026-09-03T13:38:08.7334625Z","1299.356","42610688","13","0","standard-only","0"
"measured","67","1067","2","nlohmann-2.0.0","2026-09-03T13:38:09.7360061Z","2026-09-03T13:38:11.1652679Z","1429.262","42995712","13","0","standard-only","0"
"measured","68","1068","1","nlohmann-2.0.0","2026-09-03T13:38:12.1295934Z","2026-09-03T13:38:13.6510606Z","1521.467","40480768","13","0","standard-only","0"
"measured","68","1068","2","rapidjson-1.9.5","2026-09-03T13:38:14.4690697Z","2026-09-03T13:38:15.7508409Z","1281.771","39981056","13","0","standard-only","0"
"measured","69","1069","1","rapidjson-1.9.5","2026-09-03T13:38:16.2867514Z","2026-09-03T13:38:17.5572513Z","1270.5","42381312","13","0","standard-only","0"
"measured","69","1069","2","nlohmann-2.0.0","2026-09-03T13:38:18.6568875Z","2026-09-03T13:38:20.1197554Z","1462.868","42889216","13","0","standard-only","0"
"measured","70","1070","1","nlohmann-2.0.0","2026-09-03T13:38:21.0268128Z","2026-09-03T13:38:22.4742112Z","1447.398","42770432","13","0","standard-only","0"
"measured","70","1070","2","rapidjson-1.9.5","2026-09-03T13:38:22.9782222Z","2026-09-03T13:38:24.2226875Z","1244.465","42442752","13","0","standard-only","0"
"measured","71","1071","1","rapidjson-1.9.5","2026-09-03T13:38:25.2136477Z","2026-09-03T13:38:26.4357287Z","1222.081","42512384","13","0","standard-only","0"
"measured","71","1071","2","nlohmann-2.0.0","2026-09-03T13:38:27.0388708Z","2026-09-03T13:38:28.4485510Z","1409.68","42954752","13","0","standard-only","0"
